City,ZIP Code
Los Angeles,90001
San Francisco,94102
Sacramento,95814
San Diego,92101
San Jose,95112
Fresno,93701
Oakland,94601
Long Beach,90802
Bakersfield,93301
Anaheim,92801
Santa Ana,92701
Riverside,92501
Stockton,95202
Chula Vista,91910
Irvine,92602
Fremont,94536
San Bernardino,92401
Modesto,95350
Fontana,92335
Oxnard,93030
Glendale,91201
Huntington Beach,92646
Santa Clarita,91350
Garden Grove,92840
Oceanside,92054
Rancho Cucamonga,91730
Santa Rosa,95401
Ontario,91761
Lancaster,93534
Elk Grove,95757
Corona,92879
Palmdale,93550
Salinas,93901
Pomona,91766
Hayward,94541
Escondido,92025
Torrance,90501
Sunnyvale,94086
Orange,92866
Fullerton,92831
Thousand Oaks,91360
Visalia,93277
Roseville,95661
Concord,94520
Simi Valley,93063
Santa Clara,95050
Victorville,92392
Vallejo,94590
Berkeley,94704
El Monte,91731
Downey,90241
Carlsbad,92008
Costa Mesa,92626
Inglewood,90301
Ventura,93001
Santa Barbara,93101
San Luis Obispo,93401
Santa Maria,93454
